step;body_id;x;y;z
88;2;2.10015e+09;-8.04029e+09;0
89;0;6.00687e+09;6.00687e+09;0
89;1;-8.13063e+09;2.12375e+09;0
89;2;2.12375e+09;-8.13063e+09;0
90;0;6.07361e+09;6.07361e+09;0
90;1;-8.22097e+09;2.14735e+09;0
90;2;2.14735e+09;-8.22097e+09;0
91;0;6.14035e+09;6.14035e+09;0
91;1;-8.31131e+09;2.17094e+09;0
91;2;2.17094e+09;-8.31131e+09;0
92;0;6.20709e+09;6.20709e+09;0
92;1;-8.40165e+09;2.19454e+09;0
92;2;2.19454e+09;-8.40165e+09;0
93;0;6.27384e+09;6.27384e+09;0
93;1;-8.49199e+09;2.21814e+09;0
93;2;2.21814e+09;-8.49199e+09;0
94;0;6.34058e+09;6.34058e+09;0
94;1;-8.58233e+09;2.24174e+09;0
94;2;2.24174e+09;-8.58233e+09;0
95;0;6.40732e+09;6.40732e+09;0
95;1;-8.67267e+09;2.26533e+09;0
95;2;2.26533e+09;-8.67267e+09;0
96;0;6.47407e+09;6.47407e+09;0
96;1;-8.76301e+09;2.28893e+09;0
96;2;2.28893e+09;-8.76301e+09;0
97;0;6.54081e+09;6.54081e+09;0
97;1;-8.85335e+09;2.31253e+09;0
97;2;2.31253e+09;-8.85335e+09;0
98;0;6.60755e+09;6.60755e+09;0
98;1;-8.94369e+09;2.33612e+09;0
98;2;2.33612e+09;-8.94369e+09;0
99;0;6.67429e+09;6.67429e+09;0
99;1;-9.03403e+09;2.35972e+09;0
99;2;2.35972e+09;-9.03403e+09;0
